,freight_value,price,payment_value,payment_installments,payment_sequential
66725,20.33,350.0,370.33,3,1
45367,19.69,64.9,84.59,4,1
8968,9.71,57.5,403.26,1,1
86370,45.09,89.99,135.08,1,1
88975,17.94,99.0,116.94,1,1
111464,19.32,24.0,43.32,1,1
107991,18.35,35.9,54.25,2,1
40513,14.86,109.9,124.76,6,1
92235,15.23,37.99,53.22,5,1
820,21.35,99.98,727.98,10,1
88329,18.94,57.39,76.33,1,1
5711,12.43,69.9,82.33,1,1
88640,17.6,193.0,321.2,18,1
5144,14.03,144.8,158.83,10,1
85316,13.46,53.9,67.36,1,1
78444,34.36,80.0,114.36,1,1
46849,14.71,89.0,103.71,2,1
6541,19.59,49.0,68.59,3,1
2173,12.97,89.9,102.87,2,1
9473,16.52,108.0,124.52,1,1
33685,18.27,24.0,211.35,1,1
16434,18.0,106.9,20.0,1,4
105443,10.96,32.9,43.86,1,1
101609,18.73,89.7,216.86,4,1
655,36.78,69.98,362.93,6,1
65856,16.11,29.9,46.01,4,1
65306,12.99,78.0,90.99,4,1
61883,5.92,38.5,98.19,1,1
104153,36.75,69.0,105.75,1,1
8683,19.53,48.0,135.06,2,1
52101,26.21,166.99,193.2,3,1
87361,21.29,188.8,210.09,10,1
20424,7.78,14.49,22.27,1,1
62536,46.72,59.9,106.62,10,1
17308,8.4,45.9,54.3,1,1
61565,18.09,119.99,138.08,1,1
30413,16.05,13.99,30.04,1,1
94353,22.27,48.99,71.26,7,1
59726,20.93,23.48,192.9,1,1
1576,18.23,48.9,67.13,1,1
99001,8.29,18.0,26.29,1,1
10779,14.79,199.9,214.69,5,1
53657,27.59,215.0,242.59,8,1
68846,19.71,66.89,86.6,4,1
91392,23.28,99.9,123.18,2,1
54228,14.44,99.0,113.44,1,1
107121,18.0,64.9,82.9,1,1
107169,15.23,39.9,55.13,1,1
56285,15.1,37.9,106.0,4,1
20070,13.2,107.9,121.1,2,1
9979,17.63,19.99,75.24,4,1
4404,13.42,57.11,70.53,1,1
99107,15.1,13.65,28.75,1,1
17537,15.27,24.9,40.17,1,1
67685,27.51,318.0,100.0,1,2
50265,23.35,59.99,83.34,1,1
5567,17.92,23.99,83.82,5,1
42060,13.71,50.0,191.13,10,1
82803,18.25,52.9,71.15,2,1
85340,17.67,49.0,133.34,2,1
41977,24.46,259.99,568.9,8,1
34978,17.88,89.9,107.78,3,1
47325,32.26,750.0,782.26,10,1
10221,27.82,62.9,90.72,9,1
10513,17.11,68.0,85.11,6,1
80111,15.15,56.99,72.14,2,1
31620,14.11,34.5,48.61,1,1
86703,7.78,19.99,27.77,1,1
13600,12.13,89.9,408.12,8,1
46866,37.04,17.99,220.12,3,1
21979,15.42,94.9,110.32,1,1
93594,15.1,19.9,35.0,1,1
48453,23.0,59.9,82.9,2,1
86187,47.67,110.0,157.67,7,1
87699,50.86,592.8,643.66,2,1
76689,15.42,94.5,109.92,5,1
110238,15.1,19.95,35.05,3,1
91422,23.43,89.99,113.42,1,1
77642,21.44,314.97,672.82,8,1
45497,16.6,40.0,47.57,1,1
88173,15.3,59.99,75.29,1,1
1866,16.22,65.9,82.12,8,1
101390,40.73,235.9,3.26,1,4
107276,8.27,49.99,65.84,6,1
40919,11.73,35.99,95.44,8,1
87888,26.47,779.99,806.46,10,1
68918,15.1,36.62,51.72,1,1
4568,12.7,50.9,63.6,6,1
88490,15.7,69.9,85.6,3,1
64782,8.72,35.0,43.72,1,1
71534,10.96,39.99,50.95,1,1
65721,7.78,39.0,46.78,1,1
87660,47.86,324.3,372.16,6,1
51340,11.73,69.99,81.72,1,1
55079,40.37,149.0,189.37,1,1
24746,25.38,29.9,55.28,4,1
8191,11.83,89.9,101.73,2,1
36794,17.93,99.9,471.33,10,1
94451,15.1,12.97,60.14,1,1
57412,14.1,31.9,46.0,1,1
74512,15.1,59.9,150.0,7,1
58021,14.11,110.44,498.2,1,1
87521,8.0,107.0,690.0,1,1
57222,18.28,25.89,44.17,1,1
66227,18.18,633.14,651.32,10,1
50163,20.91,244.99,265.9,5,1
18820,15.17,60.0,12.29,1,3
86293,50.5,89.99,140.49,1,1
96872,18.23,42.5,60.73,1,1
110419,14.1,19.9,34.0,1,1
53104,32.99,199.0,231.99,2,1
1879,16.43,65.99,82.42,1,1
4007,12.69,38.4,102.18,5,1
91017,16.75,79.8,96.55,3,1
106072,11.86,55.0,66.86,1,1
86407,45.3,120.0,165.3,2,1
2742,17.15,129.0,146.15,2,1
89528,14.75,75.9,172.85,2,1
103389,18.37,38.95,171.96,3,1
45222,21.11,101.45,245.12,1,1
11757,23.31,109.9,133.21,1,1
110825,20.52,139.9,160.42,1,1
20356,16.56,84.9,101.46,1,1
40917,11.73,35.99,47.72,3,1
24314,57.61,270.0,327.61,10,1
16579,12.69,140.9,153.59,2,1
109308,8.39,89.9,98.29,1,1
105766,15.1,19.95,35.05,1,1
33538,38.6,161.42,200.02,1,1
25788,19.47,39.99,5.1,1,1
104848,13.71,37.0,50.71,1,1
53872,12.83,99.9,112.73,1,1
75323,34.69,364.0,797.38,6,1
46441,7.78,44.9,52.68,3,1
46397,17.63,44.9,125.06,1,1
96689,20.75,378.0,200.0,2,2
103548,8.74,82.49,91.23,1,1
49132,0.8,42.11,64.37,1,2
110836,19.07,128.0,147.07,1,1
3395,15.85,78.0,93.85,1,1
28712,58.9,135.0,193.9,3,1
57292,16.36,24.9,41.26,2,1
41149,16.16,56.99,73.15,6,1
30594,12.69,29.89,42.58,2,1
35722,4.6,109.9,250.5,5,1
93211,18.23,27.99,46.22,4,1
101875,15.14,56.0,71.14,1,1
6578,44.63,149.9,194.53,3,1
39252,16.17,49.99,135.84,1,1
65582,15.1,49.0,64.1,1,1
92768,18.23,27.99,46.22,4,1
95994,17.63,21.99,39.62,1,1
49051,53.12,109.8,162.92,2,1
97059,2.17,38.9,189.86,10,1
67068,17.13,339.9,357.03,4,1
103528,24.84,15.32,40.16,4,1
31880,15.53,44.99,60.52,1,1
107841,21.42,139.0,100.0,1,2
52467,83.61,249.9,333.51,6,1
105693,14.7,55.0,69.7,1,1
102382,16.88,254.0,270.88,2,1
78836,7.39,40.0,47.39,1,1
52618,14.46,124.9,139.36,1,1
43353,18.22,215.0,233.22,4,1
95164,12.79,17.77,30.56,1,1
40836,26.57,69.9,96.47,4,1
65647,15.65,129.0,144.65,1,1
84113,20.99,49.9,70.89,1,1
31634,23.98,118.13,142.11,5,1
53640,57.94,209.99,267.93,6,1
62587,31.19,199.0,230.19,10,1
90653,15.1,49.9,65.0,2,1
98465,18.23,19.9,38.13,1,1
100655,20.33,120.0,140.33,10,1
84863,28.79,49.0,77.79,3,1
8075,28.8,69.9,98.7,1,1
65321,7.6,48.0,55.6,1,1
13711,8.88,49.9,58.78,1,1
72719,13.98,189.0,202.98,5,1
103373,7.87,32.49,40.36,1,1
55145,40.38,149.99,190.37,3,1
56524,10.01,180.0,190.01,1,1
8943,23.49,99.0,122.49,10,1
82968,11.65,319.0,330.65,5,1
49783,11.83,89.9,101.73,2,1
99368,15.23,17.99,33.22,1,1
12216,14.51,59.9,74.41,1,1
11657,12.48,27.99,40.47,1,1
91723,20.05,79.9,99.95,1,1
6516,23.35,69.0,92.35,1,1
49189,18.65,121.75,140.4,2,1
38650,15.56,31.9,47.46,1,1
88079,9.74,74.9,84.64,1,1
9163,14.28,75.9,360.72,1,1
33731,174.45,2338.08,2512.53,1,1
19997,14.27,99.0,113.27,1,1
77938,59.93,399.99,459.92,1,1
95146,7.39,11.97,19.36,1,1
2495,28.17,299.0,327.17,1,1
40781,27.5,109.9,137.4,1,1
66891,21.6,158.0,179.6,8,1
70575,10.96,89.99,100.95,6,1
70583,5.82,89.9,95.72,9,1
57933,15.36,87.8,206.32,5,1
13732,27.18,64.8,91.98,1,1
10817,8.72,59.9,68.62,1,1
24380,9.74,48.9,58.64,5,1
48549,18.56,64.99,83.55,1,1
98263,25.63,19.9,45.53,1,1
88398,17.78,14.99,32.77,1,1
109873,23.99,169.79,193.78,5,1
28991,17.06,47.99,130.1,10,1
82375,15.93,168.9,184.83,1,1
44231,11.15,57.0,68.15,2,1
106046,9.34,40.14,49.48,1,1
34222,13.63,86.9,100.53,1,1
109584,36.0,54.9,90.9,2,1
22964,14.73,161.62,176.35,8,1
60183,15.77,145.69,161.46,1,1
3737,26.59,230.0,256.59,5,1
47637,9.34,59.99,69.33,1,1
70418,13.16,79.99,1.53,1,5
109944,7.87,8.9,16.77,1,1
45928,31.64,30.0,228.24,5,1
97830,21.91,119.0,140.91,1,1
11680,16.11,49.9,66.01,3,1
18144,17.59,547.99,30.0,1,2
78380,9.03,35.7,192.37,1,1
21894,18.3,59.99,78.29,1,1
72159,7.39,49.9,57.29,2,1
63160,12.09,85.0,97.09,1,1
72226,12.79,47.65,60.44,2,1
9639,11.39,33.41,1.68,1,1
39638,18.76,68.9,1.99,1,11
83813,34.99,89.0,123.99,10,1
4083,49.37,120.0,69.37,5,1
110926,38.75,589.9,628.65,12,1
38283,29.27,13.9,107.09,4,1
109477,20.87,239.99,260.86,8,1
33603,7.78,59.9,67.68,4,1
45035,40.55,79.9,120.45,1,1
58490,21.71,81.99,503.71,3,1
38064,16.11,49.95,66.06,1,1
84111,13.44,59.9,73.34,1,1
78906,26.1,117.79,95.9,1,2
64956,15.3,29.0,44.3,1,1
30188,90.1,145.9,83.59,1,6
96200,17.76,189.0,206.76,1,1
43692,22.2,159.9,50.0,1,2
7864,43.98,229.9,273.88,10,1
66027,17.2,205.81,223.01,3,1
107523,15.1,49.9,65.0,1,1
90269,15.74,95.0,221.48,1,1
22768,10.8,299.0,309.8,3,1
89028,21.25,118.5,139.75,1,1
19428,19.61,215.0,234.61,3,1
16408,12.6,99.0,111.6,1,1
8551,15.3,78.8,94.1,1,1
64272,15.65,78.0,93.65,1,1
48607,20.86,52.9,73.76,7,1
62698,78.2,439.0,517.2,10,1
96236,16.79,39.9,56.69,1,1
87877,1.2,51.0,783.0,10,1
31525,149.71,500.0,649.71,1,1
66607,8.99,178.99,187.98,1,1
10815,13.18,119.9,133.08,1,1
45992,18.64,52.0,70.64,5,1
28585,16.74,69.9,86.64,3,1
55799,15.44,79.9,95.34,1,1
23077,17.17,34.9,45.24,1,2
85390,17.6,49.9,67.5,1,1
97603,18.36,158.95,354.62,5,1
32375,15.11,38.0,53.11,2,1
108064,14.23,255.0,269.23,4,1
4604,15.56,45.9,10.42,1,3
15756,12.34,119.9,132.24,1,1
42506,18.78,129.0,147.78,3,1
5766,20.06,69.9,89.96,1,1
82505,20.15,129.9,150.05,2,1
63733,7.88,89.99,97.87,1,1
6931,14.17,62.9,5.23,1,5
106737,15.1,49.9,65.0,1,1
92137,29.11,398.0,854.22,8,1
99238,14.1,9.0,23.1,1,1
46135,15.1,12.9,28.0,1,1
53228,14.52,25.0,5.52,1,4
40775,23.67,124.9,148.57,8,1
5061,21.1,189.45,539.12,1,1
46269,11.6,141.9,153.5,1,1
6330,12.11,144.5,480.46,10,1
62454,28.0,126.12,154.12,4,1
22916,15.44,79.9,95.34,1,1
49750,19.77,75.9,95.67,3,1
36274,57.6,149.9,207.5,5,1
73864,7.64,110.32,117.96,5,1
10462,24.01,103.97,255.96,10,1
106842,18.38,135.0,100.0,1,2
65928,22.07,599.0,621.07,7,1
44861,13.85,39.0,52.85,5,1
7433,15.1,19.9,35.0,1,1
104586,27.41,159.0,559.23,1,1
67776,26.3,146.0,172.3,3,1
63586,19.99,119.99,139.98,6,1
10026,56.22,399.0,2276.1,1,1
4881,30.13,69.8,271.14,3,1
48873,18.63,77.9,96.53,1,1
15206,16.79,19.49,108.84,1,1
53930,14.1,15.5,29.6,2,1
34298,7.96,89.9,297.69,6,1
11922,5.36,19.0,153.26,5,1
70785,11.85,23.99,35.84,3,1
12886,15.01,179.49,194.5,6,1
50947,17.2,131.99,149.19,1,1
20944,15.51,252.0,267.51,5,1
28417,16.6,29.75,278.1,1,1
108221,11.85,45.0,13.4,1,5
24803,17.96,149.9,167.86,3,1
109191,61.44,99.9,161.34,5,1
40282,19.78,25.0,140.56,2,1
34892,23.36,79.9,82.33,1,2
68085,15.15,199.9,215.05,10,1
92752,7.78,39.99,47.77,4,1
99624,7.39,12.3,19.69,1,1
45866,57.44,109.9,167.34,1,1
7057,15.1,29.99,45.09,4,1
53226,14.52,25.0,5.52,1,7
97426,82.31,500.0,1164.62,1,1
105971,7.87,11.8,19.67,1,1
87647,19.58,55.0,223.74,3,1
4669,15.78,81.8,2.21,1,1
82831,16.79,42.9,59.69,1,1
39039,13.95,53.0,133.9,6,1
3885,14.21,66.0,80.21,2,1
97962,15.1,49.0,64.1,1,1
54627,44.03,105.0,447.09,10,1
15822,18.8,129.9,148.7,10,1
7737,7.54,39.9,47.44,4,1
104967,22.01,590.0,612.01,6,1
109869,57.96,169.79,227.75,5,1
61628,13.89,129.0,142.89,2,1
26438,14.51,28.99,87.0,1,1
56609,38.03,69.0,107.03,1,1
17002,4.27,13.99,84.64,3,1
87413,57.77,449.0,506.77,10,1
9998,14.43,299.0,313.43,6,1
77249,18.72,69.0,87.72,3,1
62034,16.62,62.0,78.62,1,1
81041,15.72,119.9,135.62,1,1
61287,15.11,26.9,36.02,1,2
6936,12.48,62.9,75.38,1,1
11192,15.91,143.8,159.71,2,1
107016,18.18,19.9,148.33,1,1
19240,19.71,159.99,179.7,4,1
44719,21.43,134.9,156.33,6,1
45808,16.26,71.4,87.66,4,1
53369,8.72,39.9,48.62,4,1
52842,19.07,139.0,158.07,6,1
90604,7.39,25.0,32.39,1,1
3635,16.11,38.4,109.02,1,1
10120,23.43,89.9,113.33,1,1
85319,17.67,49.0,133.34,1,1
36340,12.14,149.9,162.04,6,1
55453,25.18,149.9,175.08,2,1
94450,15.1,16.97,60.14,1,1
97284,44.68,124.97,169.65,8,1
94392,38.31,231.54,269.85,1,1
84139,13.44,59.9,146.68,1,1
52840,14.84,95.0,109.84,2,1
95351,24.01,887.0,911.01,2,1
27975,43.75,229.9,273.65,1,1
101854,14.6,60.9,50.0,1,2
14009,18.23,7.99,26.22,1,1
52229,30.6,169.99,200.59,5,1
12533,15.1,19.95,35.05,2,1
17775,7.56,42.93,50.49,5,1
94974,15.1,13.98,29.08,1,1
52938,24.79,315.0,89.79,1,1
2968,14.49,35.0,148.47,8,1
13924,18.23,39.9,116.26,4,1
60553,35.41,229.9,265.31,2,1
109892,18.65,199.7,218.35,2,1
28086,17.37,89.9,8.65,1,11
2756,18.23,49.0,134.46,8,1
74149,18.65,110.32,128.97,1,1
3802,44.45,75.0,119.45,5,1
46347,13.33,35.9,49.23,4,1
54136,9.41,84.6,94.01,1,1
111666,7.39,15.9,23.29,1,1
105019,13.56,129.0,142.56,1,1
108426,25.49,396.18,421.67,10,1
79551,12.86,28.0,81.72,3,1
26822,35.82,109.0,144.82,7,1
103105,22.13,28.9,51.03,1,1
107872,7.78,39.9,47.68,1,1
36141,31.81,165.9,593.13,10,1
4081,14.3,78.0,92.3,2,1
40947,13.08,54.9,67.98,1,1
32249,8.29,28.9,37.19,1,1
47074,11.11,299.99,311.1,3,1
93207,11.85,28.99,81.68,1,1
71764,22.97,66.99,89.96,2,1
6483,16.11,47.0,63.11,2,1
68373,17.41,329.9,347.31,1,1
86651,15.55,112.99,257.08,1,1
43443,26.1,179.99,206.09,2,1
86453,45.09,89.99,135.08,2,1
11597,20.16,169.99,190.15,10,1
67040,19.43,190.0,209.43,8,1
38647,16.11,31.9,48.01,4,1
95373,15.28,76.0,91.28,1,1
104748,28.11,58.5,86.61,1,1
60097,18.37,70.0,88.37,1,1
101126,15.84,105.99,243.66,3,1
80075,24.89,56.99,81.88,5,1
39803,8.92,16.8,76.25,1,1
67800,16.09,190.83,206.92,1,1
22155,15.3,79.0,94.3,1,1
103866,7.39,5.5,77.34,1,1
25749,15.11,49.99,50.0,1,3
42684,18.35,110.0,128.35,4,1
99306,18.23,12.9,31.13,1,1
87608,22.32,55.0,8.33,1,1
46376,8.72,42.99,51.71,1,1
46353,15.1,42.99,58.09,1,1
93730,14.52,18.99,33.51,1,1
2113,16.11,34.9,51.01,5,1
106004,33.68,699.0,732.68,6,1
74118,7.64,110.32,235.92,2,1
45150,13.48,10.5,86.04,1,1
96574,7.87,42.0,49.87,1,1
107635,14.1,49.9,64.0,3,1
71412,23.0,59.99,82.99,2,1
105399,27.45,129.99,314.88,3,1
4975,15.56,24.75,40.31,2,1
1108,20.21,129.99,150.2,2,1
70432,7.88,89.99,97.87,4,1
59747,15.1,18.9,102.0,1,1
38081,13.0,48.45,61.45,3,1
87417,24.36,106.6,392.88,3,1
38089,19.49,42.9,62.39,1,1
78383,17.6,49.0,66.6,2,1
108606,8.73,102.9,19.06,1,4
53217,25.95,156.99,182.94,1,1
92777,14.1,21.99,36.09,3,1
57754,14.1,39.9,54.0,2,1
4230,43.29,330.0,373.29,1,1
77710,13.48,65.89,79.37,3,1
16866,18.84,179.99,198.83,1,1
89040,21.7,109.0,130.7,1,1
38995,16.25,70.0,86.25,2,1
62043,19.41,31.5,101.82,1,1
86306,45.3,120.0,30.22,1,1
15530,16.12,69.9,86.02,2,1
70049,7.71,29.9,37.61,1,1
90732,50.98,36.9,87.88,8,1
105243,15.12,299.99,287.13,1,2
65496,2.75,49.0,134.23,4,1
27804,11.53,130.0,141.53,1,1
107581,34.15,49.9,168.1,1,1
63100,16.11,38.9,110.02,1,1
112287,16.03,183.0,199.03,8,1
57340,15.26,22.32,37.58,1,1
89316,15.1,49.0,64.1,6,1
7339,17.95,29.99,47.94,1,1
76130,11.15,55.92,45.1,1,2
19711,19.32,25.0,44.32,1,1
30452,8.41,49.99,20.94,1,1
100698,22.71,120.0,142.71,1,1
43947,18.39,52.5,119.27,8,1
57100,14.1,22.99,37.09,1,1
96672,15.67,274.99,290.65,6,1
67683,13.95,350.0,363.95,8,1
49609,9.05,42.2,51.25,1,1
1714,63.97,116.94,361.82,1,1
65336,15.44,49.0,64.44,3,1
100085,15.23,49.0,64.23,6,1
17314,25.63,45.9,143.06,2,1
35419,12.27,109.9,122.17,3,1
20173,19.4,61.28,161.36,1,1
55231,23.83,139.0,162.83,1,1
71920,53.21,122.99,176.2,1,1
88633,13.06,193.0,206.06,1,1
89321,32.21,168.0,200.21,4,1
103570,8.72,79.9,88.62,1,1
38352,15.1,21.9,37.0,1,1
1343,26.13,89.96,232.18,1,1
108667,23.14,79.9,23.4,1,1
90148,50.91,58.9,109.81,5,1
13904,33.58,739.9,773.48,1,1
88928,18.15,129.0,147.15,1,1
38003,11.85,49.95,61.8,1,1
28237,10.96,45.9,56.86,1,1
62578,8.27,4.9,13.17,1,1
14343,39.06,26.0,180.49,5,1
62655,15.3,29.0,44.3,1,1
14121,11.15,37.9,49.05,1,1
39808,18.44,169.9,188.34,8,1
73807,24.78,439.0,463.78,4,1
40207,16.11,45.9,62.01,4,1
88825,17.8,79.0,96.8,3,1
53831,16.4,90.9,321.9,1,1
18815,5.1,43.0,143.48,10,1
112128,28.49,849.99,878.48,15,1
54264,22.77,64.99,87.76,1,1
36055,15.1,35.15,50.25,2,1
46001,17.06,17.9,69.92,6,1
91511,7.39,12.0,19.39,1,1
8525,15.24,69.9,85.14,1,1
62677,43.34,630.0,673.34,6,1
8216,16.88,89.9,106.78,1,1
65900,12.79,29.9,42.69,2,1
25535,60.16,329.0,389.16,7,1
11168,15.79,147.9,163.69,10,1
19410,22.93,42.9,65.83,1,1
66293,19.26,165.0,184.26,3,1
87768,23.9,209.9,233.8,5,1
7528,24.97,299.99,138.63,1,2
14051,15.11,22.0,37.11,1,1
59369,13.18,149.9,163.08,2,1
31622,64.8,24.49,89.29,8,1
42526,19.6,59.0,78.6,2,1
29841,15.05,49.99,65.04,1,1
61067,17.44,240.35,257.79,1,1
78239,21.8,527.9,549.7,6,1
69268,16.08,139.9,155.98,1,1
9101,26.43,99.0,125.43,10,1
46938,11.84,64.9,76.74,1,1
57214,32.99,29.89,91.21,1,1
108065,16.54,255.0,271.54,9,1
63532,15.31,79.99,95.3,3,1
101089,8.6,168.99,177.59,2,1
24243,15.12,52.99,68.11,6,1
80374,15.1,15.99,31.09,1,1
27381,19.32,25.9,45.22,4,1
105790,15.1,7.8,22.9,1,1
38066,13.71,49.95,63.66,4,1
8991,13.3,106.0,357.9,1,1
5533,14.1,17.99,64.18,1,1
69813,16.5,249.48,265.98,3,1
64890,15.42,95.0,110.42,5,1
78309,14.33,85.9,100.23,2,1
73816,19.2,189.0,208.2,6,1
58207,16.94,72.0,88.94,2,1
80161,15.15,56.99,72.14,7,1
83846,32.98,99.5,529.92,10,1
91633,20.89,62.8,83.69,4,1
31011,8.89,19.9,20.72,1,3
108442,16.01,164.9,831.72,1,1
109763,17.84,84.9,102.74,2,1
69151,8.75,269.0,277.75,2,1
9667,13.28,39.98,198.48,10,1
20686,22.41,76.0,479.22,2,1
71970,13.94,64.99,78.93,3,1
6071,12.43,69.9,82.33,1,1
84593,14.47,53.9,341.85,1,1
84066,13.37,49.9,63.27,1,1
41511,18.77,29.99,97.52,4,1
3789,39.77,120.0,159.77,3,1
64647,14.1,29.0,43.1,2,1
28297,11.2,26.18,74.76,1,1
96184,12.27,109.9,122.17,6,1
83465,11.46,119.99,131.45,1,1
50828,29.84,129.99,159.83,2,1
29957,52.83,64.96,73.01,1,2
65486,14.28,75.0,89.28,4,1
19117,17.08,119.0,136.08,3,1
15888,18.59,191.0,419.18,3,1
70425,12.97,89.99,102.96,8,1
71408,22.48,59.99,82.47,2,1
787,50.89,116.99,167.88,2,1
27800,23.49,130.0,920.94,6,1
84895,17.6,49.9,67.5,1,1
43979,19.72,74.99,94.71,2,1
88842,22.37,79.0,101.37,3,1
13240,41.91,377.0,418.91,4,1
96050,15.66,130.0,145.66,1,1
22819,15.49,103.99,33.63,1,2
89830,58.9,194.9,137.14,3,1
20776,48.32,199.9,248.22,7,1
78593,19.41,179.99,199.4,1,1
14827,56.36,269.0,325.36,6,1
17627,28.02,210.0,238.02,2,1
105238,14.23,68.99,83.22,1,1
62387,23.2,450.0,473.2,1,1
17672,15.11,45.0,120.22,1,1
56685,7.78,34.99,42.77,1,1
42545,13.37,48.0,61.37,3,1
78247,54.43,529.9,584.33,1,2
34191,17.88,89.9,107.78,5,1
103457,12.8,56.97,69.77,1,1
10949,25.66,117.3,142.96,2,1
13030,18.23,27.9,46.13,1,1
87427,25.71,87.0,612.99,10,1
110854,28.96,79.9,217.72,1,1
20298,14.1,24.9,39.0,1,1
54084,58.9,349.0,238.0,1,2
77954,13.46,50.9,64.36,1,1
78827,19.39,27.9,47.29,2,1
41642,16.98,85.0,59.78,1,3
8841,15.38,89.18,104.56,1,1
647,39.39,169.99,209.38,2,1
12186,13.44,59.9,73.34,3,1
106051,17.77,74.9,92.67,1,1
39677,14.14,159.9,174.04,1,1
73059,16.46,99.9,232.72,10,1
110172,17.92,44.9,72.55,7,1
20747,23.78,139.9,163.68,2,1
11761,15.07,107.9,122.97,1,1
5772,14.0,69.9,167.8,1,1
31375,23.71,459.99,483.7,1,1
91316,41.76,395.6,437.36,8,1
54906,15.1,49.9,65.0,1,1
21286,15.23,35.9,51.13,1,1
57938,15.36,87.8,103.16,1,1
75872,18.23,14.89,33.12,1,1
61150,7.39,12.88,20.27,1,1
7984,17.41,39.9,57.31,1,1
86657,17.71,79.9,192.12,5,1
63360,34.15,19.9,54.05,5,1
20992,9.34,30.3,79.28,1,1
18442,17.99,59.9,155.78,2,1
39174,15.1,14.0,58.2,1,1
8241,11.32,99.9,111.22,2,1
2371,16.02,159.0,175.02,3,1
11293,34.95,226.95,261.9,1,1
15122,18.4,43.0,61.4,1,1
98961,11.85,21.9,33.75,1,1
21908,9.44,39.9,49.34,1,1
21254,21.39,85.0,106.39,3,1
55968,15.83,299.9,631.46,6,1
69864,18.51,179.75,198.26,6,1
16884,16.6,119.9,273.0,10,1
33752,13.78,159.9,173.68,7,1
103028,15.2,65.0,160.4,3,1
17560,16.78,84.9,101.68,1,1
62326,18.64,109.0,255.28,3,1
34431,12.69,29.0,41.69,1,1
22962,11.98,21.5,33.48,1,1
14556,10.46,335.0,345.46,6,1
80681,20.91,339.0,359.91,1,1
15502,16.12,69.9,86.02,2,1
36089,16.58,135.0,151.58,5,1
37027,17.95,99.9,117.85,4,1
48527,18.33,64.99,83.32,3,1
53022,18.64,199.0,217.64,1,1
63744,15.15,199.99,215.14,1,1
96827,31.93,169.0,200.93,5,1
15054,20.19,99.9,120.09,1,1
95367,11.33,69.0,80.33,1,1
14881,24.94,89.97,114.91,2,1
56620,8.72,15.0,47.44,2,1
103908,15.1,16.0,124.4,10,1
111316,31.34,1899.0,1930.34,10,1
62893,15.23,69.0,84.23,6,1
72892,108.15,760.0,1736.3,10,1
90634,15.23,68.0,83.23,8,1
9420,7.4,19.5,4.52,1,1
69332,19.97,299.0,318.97,1,1
40651,23.43,89.9,113.33,4,1
56617,17.63,15.0,20.0,1,1
91065,14.52,35.0,49.52,1,1
73921,15.87,110.32,252.38,1,1
108699,14.31,82.9,97.21,1,1
90044,15.5,699.0,714.5,8,1
96610,18.31,29.99,48.3,1,1
42513,22.24,75.0,97.24,3,1
55555,23.37,149.9,173.27,1,1
111627,23.73,132.91,156.64,3,1
34065,2.93,86.9,206.01,1,1
91040,45.2,199.9,245.1,8,1
38387,23.52,52.9,76.42,3,1
12407,17.74,69.9,87.64,1,1
31931,15.11,29.9,45.01,1,1
19418,36.02,99.9,135.92,4,1
72511,10.07,330.0,340.07,1,1
91847,10.96,35.0,91.92,1,1
44660,21.54,149.9,7.25,1,2
55836,13.0,79.9,92.9,1,1
80815,15.7,279.0,294.7,10,1
56870,16.06,89.0,105.06,1,1
104473,18.72,120.0,138.72,2,1
101880,36.36,148.0,184.36,6,1
15294,15.95,171.0,186.95,2,1
58913,22.56,89.9,112.46,1,1
64019,9.85,105.0,229.7,1,1
55132,40.37,149.0,378.74,5,1
59616,18.12,123.89,142.01,4,1
95710,14.1,28.9,43.0,1,1
31916,15.38,89.18,104.56,1,1
86276,62.44,110.0,172.44,1,1
2129,32.0,39.9,129.2,8,1
23443,7.94,29.0,15.48,1,6
91111,13.47,43.99,57.46,1,1
28516,17.73,219.9,237.63,3,1
61545,17.81,79.99,97.8,1,1
17037,15.23,34.99,50.22,1,1
60259,38.78,134.9,347.36,5,1
41222,19.59,56.99,76.58,3,1
2997,26.89,38.4,130.58,2,1
15209,16.79,19.49,72.56,1,1
67921,7.74,124.9,132.64,1,1
65705,15.27,55.0,70.27,1,1
68389,9.66,399.0,408.66,6,1
58155,15.34,84.0,397.36,8,1
948,33.53,249.0,282.53,4,1
86967,21.35,495.95,1034.6,10,1
43433,15.14,219.99,235.13,1,1
50798,19.15,129.99,149.14,3,1
33181,27.91,179.0,206.91,4,1
104032,19.74,110.0,129.74,2,1
4751,10.96,24.9,35.86,3,1
54002,13.37,76.98,180.7,1,1
80756,8.81,149.0,157.81,2,1
29706,12.48,48.9,61.38,1,1
93328,14.1,24.99,39.09,1,1
10399,45.26,114.97,160.23,3,1
43362,28.67,185.0,213.67,4,1
82651,18.58,69.0,175.16,1,1
76627,7.51,35.0,42.51,2,1
110203,23.48,128.9,152.38,2,1
105531,18.59,69.6,88.19,1,1
69849,17.48,148.99,166.47,3,1
58950,16.61,88.0,219.03,1,1
70698,7.78,23.99,31.77,3,1
61593,36.48,166.02,202.5,1,1
13370,18.48,54.9,73.38,1,1
85347,13.37,49.9,63.27,3,1
4577,17.19,39.9,57.09,1,1
7690,15.17,59.9,75.07,1,1
40773,41.26,289.9,447.42,1,1
99396,14.1,21.9,36.0,1,1
9925,36.19,34.9,404.28,5,1
32359,5.12,83.8,16.7,1,11
28589,9.06,43.9,52.96,3,1
59352,14.21,124.9,139.11,2,1
